exp_id,datetime,git_commit,git_dirty,dataset,task,image,num_steps,schedule,num_epochs,lr,zeta_init,d_init,wave,level,eta,noise_sigma,obs_psnr,psnr,ssim,lpips,nfe_opt,nfe_sample,nfe_total,time_opt_s,time_sample_s,time_total_s
20260815_165524_super_resolution_ffhq_00009,2026-08-15 16:55:25,3c0b512,True,ffhq,super_resolution,00009.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,27.5361,28.0851,0.8736,0.1169,300,60,360,23.9,4.1,28.0
20260815_165555_super_resolution_ffhq_00010,2026-08-15 16:55:55,3c0b512,True,ffhq,super_resolution,00010.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,24.1673,25.0222,0.8163,0.1166,300,60,360,23.4,4.0,27.4
20260815_165625_super_resolution_ffhq_00011,2026-08-15 16:56:25,3c0b512,True,ffhq,super_resolution,00011.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,26.4598,27.2115,0.8582,0.1017,300,60,360,23.6,3.8,27.4
20260815_165655_super_resolution_ffhq_00012,2026-08-15 16:56:55,3c0b512,True,ffhq,super_resolution,00012.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,25.9955,27.1184,0.8751,0.103,300,60,360,23.4,3.9,27.4
20260815_165727_super_resolution_ffhq_00013,2026-08-15 16:57:27,3c0b512,True,ffhq,super_resolution,00013.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,24.7639,25.8196,0.8514,0.0822,300,60,360,23.9,4.3,28.2
20260815_165759_super_resolution_ffhq_00014,2026-08-15 16:58:00,3c0b512,True,ffhq,super_resolution,00014.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,27.108,27.7048,0.812,0.1092,300,60,360,22.7,3.3,26.1
20260815_165829_super_resolution_ffhq_00015,2026-08-15 16:58:29,3c0b512,True,ffhq,super_resolution,00015.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,28.8962,28.6329,0.8658,0.1175,300,60,360,20.5,4.1,24.6
20260815_165900_super_resolution_ffhq_00016,2026-08-15 16:59:00,3c0b512,True,ffhq,super_resolution,00016.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,27.8996,29.0835,0.8283,0.106,300,60,360,23.8,3.9,27.7
20260815_165930_super_resolution_ffhq_00017,2026-08-15 16:59:30,3c0b512,True,ffhq,super_resolution,00017.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,28.2835,29.7725,0.8972,0.0741,300,60,360,23.3,3.6,26.9
20260815_165959_super_resolution_ffhq_00018,2026-08-15 16:59:59,3c0b512,True,ffhq,super_resolution,00018.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,27.5675,28.1506,0.8415,0.1127,300,60,360,22.5,3.6,26.1
20260815_170031_super_resolution_ffhq_00019,2026-08-15 17:00:32,3c0b512,True,ffhq,super_resolution,00019.png,60,30-20-10,5,0.001,0.1,0.2,db4,3,1.0,0.05,27.082,27.8677,0.8669,0.0688,300,60,360,24.4,4.3,28.6
20260815_173617_super_resolution_ffhq_00000,2026-08-15 17:36:17,105e2ca,True,ffhq,super_resolution,00000.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,28.7247,29.5744,0.8782,0.1022,300,30,330,24.0,2.1,26.1
20260815_173647_super_resolution_ffhq_00001,2026-08-15 17:36:47,105e2ca,True,ffhq,super_resolution,00001.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.7281,28.0384,0.8327,0.1076,300,30,330,23.3,2.1,25.4
20260815_173714_super_resolution_ffhq_00002,2026-08-15 17:37:14,105e2ca,True,ffhq,super_resolution,00002.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,29.4164,29.8198,0.8515,0.1349,300,30,330,23.3,2.2,25.4
20260815_173741_super_resolution_ffhq_00003,2026-08-15 17:37:41,105e2ca,True,ffhq,super_resolution,00003.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.0718,28.5612,0.8688,0.0754,300,30,330,23.1,1.8,24.9
20260815_173809_super_resolution_ffhq_00004,2026-08-15 17:38:09,105e2ca,True,ffhq,super_resolution,00004.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,23.2373,23.2258,0.768,0.1948,300,30,330,23.5,2.0,25.5
20260815_173836_super_resolution_ffhq_00005,2026-08-15 17:38:37,105e2ca,True,ffhq,super_resolution,00005.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,26.9894,27.7881,0.8139,0.1629,300,30,330,23.2,1.9,25.1
20260815_173903_super_resolution_ffhq_00006,2026-08-15 17:39:03,105e2ca,True,ffhq,super_resolution,00006.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.3362,28.257,0.8704,0.1105,300,30,330,22.8,1.4,24.2
20260815_173930_super_resolution_ffhq_00007,2026-08-15 17:39:30,105e2ca,True,ffhq,super_resolution,00007.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,26.4779,26.1527,0.788,0.1259,300,30,330,22.6,2.0,24.7
20260815_173957_super_resolution_ffhq_00008,2026-08-15 17:39:57,105e2ca,True,ffhq,super_resolution,00008.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.3793,28.4932,0.8192,0.1085,300,30,330,23.3,2.1,25.5
20260815_174028_super_resolution_ffhq_00009,2026-08-15 17:40:28,105e2ca,True,ffhq,super_resolution,00009.png,30,15-10-5,10,0.001,0.1,0.2,db4,3,1.0,0.05,27.5542,28.0242,0.8793,0.1248,300,30,330,23.9,1.8,25.7
